ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu,edu_cat,imaginary_screensize,eyesight_z
26983,post,AR,36,unspecified,unspecified,2,543,462,141.42739591666668,360.25,white,58.894341237339184,0,no,13,unspecified,1327,-2.935534089855291
42864,post,AR,28,female,bachelors degree,18,461,213,216.11823981666666,69.54166666666667,white,114.37682353660779,-3.0700729626275205,yes,17,college,1294,0.2803769714537824
29236,post,AR,59,female,bachelors degree,8,1639,388,174.5019055,89.33333333333333,white,99.27980911701225,-18.748133252336302,yes,15,college,1341,-1.7593313274249198
15102,post,AR,33,female,associates or some college,22,330,328,44.942132683333334,411,black,120.33554738323792,2.835726147115892,yes,16,college,1320,1.250246129618941
65275,post,AR,39,unspecified,unspecified,18,1609,364,353.36098243333333,89.875,unspecified,99.27980911701225,12.026941456968018,unspecified,NA,unspecified,1296,-0.3044970610610006
16987,post,AR,35,female,masters degree or equivalent,14,299,253,67.34038423333334,71.75,asian,87.04122872468464,12.238580392327606,no,18,postcollege,1321,0.1429265617041087
13520,post,AR,54,female,associates or some college,11,448,351,142.54762543333334,69.04166666666667,white,83.91638071555967,6.331058735649876,yes,14,college,1327,-2.0420249962359964
2110,post,AR,53,female,masters degree or equivalent,18,398,397,73.12584483333333,70,white,105.31617807887685,5.990572495103422,yes,14,postcollege,1313,-0.17476378109649424
63340,post,AR,55,female,masters degree or equivalent,29,2725,1354,1338.1987666500002,99.04166666666667,unspecified,132.23970401624268,11.310075411066748,unspecified,NA,postcollege,1293,2.6785371061702627
32650,post,AR,33,female,masters degree or equivalent,12,788,515,243.78294621666666,177.83333333333334,asian,83.91638071555967,9.30333173557915,no,20,postcollege,1318,0.4644065281168927
49030,post,AR,58,female,associates or some college,23,304,302,59.79433373333333,70.08333333333333,asian,105.31617807887685,20.82162091731682,no,16,college,1312,0.8514143649218
9673,post,AR,56,female,associates or some college,20,283,280,61.75873248333333,69.95833333333333,white,102.39649297175713,14.897810553974026,yes,13,college,1329,0.21828612928933688
29736,post,AR,40,male,bachelors degree,24,592,522,104.36940115,75.25,white,129.13989476473813,0,yes,16,college,1286,1.2963367207612364
33255,post,AR,46,female,associates or some college,16,298,116,117.28913358333332,74.95833333333333,white,108.3885546641786,-3.072376585301754,yes,14,college,1310,-0.32197218806575395
11540,post,AR,41,male,high school,14,2395,1796,724.5570610166667,89.54166666666667,unspecified,99.27980911701225,0,unspecified,NA,hs,1326,-0.005923346415861054
60639,post,AR,47,female,bachelors degree,13,294,292,55.405531933333336,131.95833333333334,white,93.21971245113882,3.1369087409638325,yes,18,college,1310,-0.8115734411706924
64554,post,AR,42,female,masters degree or equivalent,12,493,330,114.83044536666667,147.70833333333334,unspecified,93.21971245113882,0,unspecified,NA,postcollege,1333,-0.6952496189609595
41307,post,AR,46,male,phd,25,846,365,280.07234408333335,148.08333333333334,white,126.13779899619367,6.101905020049017,unspecified,20,postcollege,1304,1.8725255296262397
42927,post,AR,50,male,associates or some college,16,543,415,212.59498536666666,299.5833333333333,unspecified,83.91638071555967,21.399797363317177,yes,13,college,1331,-0.05006198171145085
24207,post,AR,42,female,phd,18,338,294,76.23447900000001,70,other,102.39649297175713,8.91025760222314,yes,20,postcollege,1318,0.26591615965633947
