ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu
1439,post,AR,55,male,associates or some college,16,2218,652,317.48063406666665,128.16666666666666,unspecified,96.35662119210265,8.959556886774195,unspecified,NA
10594,post,AR,42,male,associates or some college,17,481,424,151.53624508333334,70.54166666666667,white,70.13496580221123,38.25358886196737,yes,13
28952,post,AR,50,female,masters degree or equivalent,15,123,122,24.949288733333333,70.95833333333333,white,108.3885546641786,-5.992061692421473,yes,18
28369,post,AR,45,male,bachelors degree,17,281,230,74.87505751666667,70.04166666666667,white,108.3885546641786,0,yes,16
44127,post,AR,23,female,masters degree or equivalent,17,65,63,13.604272133333334,122.125,white,108.3885546641786,0,yes,18
11737,post,AR,42,female,associates or some college,20,572,512,185.5621173,71.16666666666667,white,117.29430352573115,0,yes,13
62026,post,AR,20,male,associates or some college,23,227,209,49.29383875,70,white,114.37682353660779,11.760975459585879,yes,13
30407,post,AR,20,male,high school,17,103,103,20.319262916666666,85.25,white,99.27980911701225,9.10874554716635,yes,12
45971,post,AR,52,male,associates or some college,14,202,200,41.88159711666667,70.125,asian,93.21971245113882,6.060096665873431,yes,13
19850,post,AR,56,female,bachelors degree,13,521,404,175.28880973333332,69.5,white,99.27980911701225,-2.9231879249095982,yes,16
27875,post,AR,26,male,high school,11,403,360,76.89119043333334,440.2083333333333,white,80.53167586467595,9.715763586533598,yes,13
10419,post,AR,24,female,bachelors degree,27,673,557,206.03209363333335,88.79166666666667,white,126.13779899619367,11.942072368265556,yes,16
35524,post,AR,19,male,associates or some college,19,282,128,147.5564371,97.08333333333333,white,117.29430352573115,-2.9174799891233647,yes,13
10846,post,AR,34,male,associates or some college,16,120,111,16.94557375,131.25,other,108.3885546641786,-3.072376585301754,yes,16
18209,post,AR,25,male,associates or some college,10,284,250,78.10051446666667,76.95833333333333,unspecified,83.91638071555967,3.1248480091249746,unspecified,NA
33820,post,AR,27,unspecified,unspecified,16,302,163,48.63447333333333,309.9583333333333,white,93.21971245113882,12.096465627738027,yes,16
31040,post,AR,50,female,masters degree or equivalent,22,487,355,128.48717251666667,71.16666666666667,white,117.29430352573115,5.876970004622663,yes,20
24355,post,AR,42,female,masters degree or equivalent,16,1069,605,594.2369722333333,71.70833333333333,white,93.21971245113882,12.096465627738027,yes,20
61764,post,AR,35,female,masters degree or equivalent,9,601,458,175.26217326666668,179.91666666666666,white,90.24743945120954,-6.331058735649876,yes,18
29250,post,AR,55,female,bachelors degree,16,89,44,20.65961275,72.04166666666667,unspecified,108.3885546641786,-3.072376585301754,yes,16
396,post,AR,45,female,bachelors degree,12,217,186,46.39065703333333,89.33333333333333,unspecified,105.31617807887685,-12.096465627738027,unspecified,NA
45825,post,AR,55,female,associates or some college,17,1205,594,570.3832386166666,69.25,white,90.24743945120954,18.141115212969055,yes,14
42198,post,AR,31,male,bachelors degree,23,481,192,323.59778785000003,73.95833333333333,white,117.29430352573115,8.843495470462514,yes,16
68689,post,AR,30,female,masters degree or equivalent,11,286,183,71.55659165,104.125,unspecified,108.3885546641786,-18.141115212969055,unspecified,NA
62465,post,AR,56,male,high school,5,318,257,77.62960993333334,70.95833333333333,white,83.91638071555967,-13.781414913348442,yes,13
33905,post,AR,53,female,bachelors degree,18,219,216,30.614384666666666,87.95833333333333,white,99.27980911701225,12.026941456968018,yes,16
19276,post,AR,58,female,associates or some college,19,2883,991,914.8692136833333,69.91666666666667,black,105.31617807887685,9.060645457730942,yes,13
32366,post,AR,55,female,associates or some college,16,479,356,164.22095051666668,70.04166666666667,white,105.31617807887685,0,yes,13
7684,post,AR,30,male,associates or some college,15,399,227,97.81224685000001,323.1666666666667,hispanic,93.21971245113882,9.176780520618308,yes,12
37914,post,AR,25,female,bachelors degree,18,554,360,171.97176553333335,69.91666666666667,white,108.3885546641786,2.9181959098016677,yes,17
10527,post,AR,56,female,high school,25,1954,1745,564.5805081666666,71.875,white,105.31617807887685,26.923525937365838,yes,12
54059,post,AR,55,female,bachelors degree,17,221,218,42.497350733333334,70.125,white,111.30675057398027,-2.9181959098016677,yes,16
43694,post,AR,59,female,bachelors degree,12,608,477,119.91048048333333,98.08333333333333,white,96.35662119210265,-3.1369087409638325,yes,17
58580,post,AR,50,female,associates or some college,22,193,186,36.32135756666667,69.83333333333333,white,102.39649297175713,20.77478055859669,yes,NA
53607,post,AR,32,male,bachelors degree,19,1152,1115,226.84613041666668,262.9583333333333,white,105.31617807887685,9.060645457730942,yes,16
38580,post,AR,52,male,bachelors degree,16,1638,1071,317.33448963333336,84.91666666666667,hispanic,96.35662119210265,8.959556886774195,no,16
17002,post,AR,21,male,associates or some college,12,171,164,40.724157633333334,110.125,white,93.21971245113882,0,yes,15
61029,post,AR,53,male,associates or some college,10,113,110,21.303025116666667,91.58333333333333,unspecified,87.04122872468464,0,unspecified,NA
67476,post,AR,17,female,high school,24,3851,852,1734.5870478166669,90.04166666666667,unspecified,120.33554738323792,8.804347381500207,unspecified,NA
15140,post,AR,26,female,bachelors degree,26,243,233,65.8352913,75,white,132.23970401624268,2.9618667360464883,yes,17
19362,post,AR,45,male,associates or some college,23,791,627,264.5541277666667,70.125,white,129.13989476473813,-3.0020957685444642,yes,13
44081,post,AR,19,female,associates or some college,13,156,130,78.21384155,137.16666666666666,white,87.04122872468464,9.315392467418008,yes,13
59619,post,AR,27,female,bachelors degree,15,102,96,27.048766166666667,81.16666666666667,white,83.91638071555967,18.480112256197458,yes,16
17958,post,AR,36,male,bachelors degree,22,422,366,106.20630846666667,98.04166666666667,white,111.30675057398027,11.864522956373548,yes,16
50059,post,AR,39,male,associates or some college,18,151,150,26.868877216666668,246,white,114.37682353660779,-3.0700729626275205,yes,12
22183,post,AR,50,male,associates or some college,19,346,333,67.9499547,126.04166666666667,unspecified,105.31617807887685,9.060645457730942,unspecified,NA
54757,post,AR,57,female,masters degree or equivalent,16,321,276,78.02526131666667,70.91666666666667,white,87.04122872468464,18.274949354192202,yes,18
59764,post,AR,33,female,bachelors degree,13,177,148,30.019763333333334,69.95833333333333,white,93.21971245113882,3.1369087409638325,yes,16
55924,post,AR,42,female,bachelors degree,17,253,251,61.112400216666664,70.91666666666667,white,108.3885546641786,0,yes,18
6751,post,AR,25,unspecified,unspecified,16,163,113,30.26724451666667,189.20833333333334,hispanic,102.39649297175713,2.9196851071197187,yes,18
47880,post,AR,56,female,phd,10,578,388,164.89744783333333,71.04166666666667,asian,96.35662119210265,-9.315392467418008,no,20
43745,post,AR,58,male,associates or some college,14,74,60,21.439912566666667,81.08333333333333,white,93.21971245113882,6.060096665873431,yes,14
16177,post,AR,45,male,associates or some college,19,1466,668,681.5865747166667,93.41666666666667,unspecified,99.27980911701225,15.097014419595538,unspecified,NA
61679,post,AR,28,female,masters degree or equivalent,20,254,214,66.42144160000001,92.79166666666667,white,120.33554738323792,-3.041243857506771,yes,17
49808,post,AR,39,male,bachelors degree,21,390,357,56.70666666666667,110.5,white,114.37682353660779,5.958723846630136,yes,16
58407,post,AR,27,male,bachelors degree,20,165,160,35.62232143333333,72.125,white,123.17127353035382,-5.876970004622663,yes,16
65410,post,AR,41,male,associates or some college,16,201,196,45.0881174,121.875,unspecified,108.3885546641786,-3.072376585301754,unspecified,NA
